City,Cost_of_Living_Score,Safety_Score,teleport_city_score,Latitude,Longitude
Brussels,4.477,6.703,61.962837837837846,50.8465573,4.351697
Bucharest,8.516,8.985999999999999,57.41067567567566,44.4361414,26.1027202
Budapest,7.947999999999999,8.218499999999999,61.15459459459461,47.4978918,19.0401609
Buenos Aires,7.763999999999999,6.0395,49.59229729729729,-34.6075682,-58.4370894
Buffalo,5.228000000000001,7.1885,56.03797297297297,42.8867166,-78.8783922
Cairo,10.0,6.791,43.35243243243242,30.0443879,31.2357257
Calgary,5.417999999999999,7.923,65.5031081081081,51.0456064,-114.0575418
Cambridge,4.851,9.504499999999998,63.05689189189189,52.2055314,0.1186637
Cape Town,7.955,5.327999999999999,45.93310810810814,-33.928992,18.417396
Caracas,9.82,5.221,34.52013513513513,10.5060934,-66.9146008
Cardiff,6.082,8.21,62.81716216216216,51.4816546,-3.1791934
Casablanca,9.088,6.775500000000001,40.35081081081081,33.5945144,-7.6200284
Charleston,3.567,5.0555,54.79702702702704,32.7884363,-79.9399309
Charlotte,4.987,5.347499999999999,56.057162162162165,35.2272086,-80.8430827
Chattanooga,6.121,4.468,49.4091891891892,35.0457219,-85.3094883
Chennai,10.0,7.837000000000001,48.08283783783783,13.0836939,80.270186
Chiang Mai,8.495000000000001,8.452500000000002,51.011216216216205,18.7882778,98.9858802
Chicago,4.766000000000001,3.832,62.90500000000001,41.8755616,-87.6244212
Chisinau,9.343,7.627999999999999,48.66702702702702,47.0245117,28.8322923
Christchurch,5.096,7.584999999999999,60.66972972972973,-43.530955,172.6366455
Cincinnati,6.1080000000000005,4.975,56.55027027027029,39.1014537,-84.5124602
Cleveland,5.595,3.637,54.84851351351354,41.4996574,-81.6936772
Cluj-Napoca,8.794,9.4745,57.53378378378377,46.769379,23.5899542
Cologne,5.606999999999999,6.6295,62.26432432432431,50.938361,6.959974
Colorado Springs,5.375,5.3775,55.11527027027028,38.8339578,-104.825348
Columbus,5.746000000000001,5.2815,58.759324324324325,39.9622601,-83.0007065
Copenhagen,3.426,9.1525,68.81594594594596,55.6867243,12.5700724
Cork,4.902,8.839500000000001,60.60878378378381,51.897077,-8.4654674
Curitiba,8.433,5.9465,46.45472972972971,-25.4295963,-49.2712724
Dallas,6.090999999999999,4.339,59.02243243243244,32.7762719,-96.7968559
Dar es Salaam,8.026,6.1005,33.68337837837837,-6.8160837,39.2803583
Delhi,9.869,6.4185,47.155135135135126,28.6273928,77.1716954
Denver,5.102,5.371,61.41324324324327,39.7392364,-104.984862
Des Moines,6.327,6.984,55.92121621621623,41.5910323,-93.6046655
Detroit,6.032,4.4615,52.3633783783784,42.3315509,-83.0466403
Doha,6.183,9.486,54.44743243243244,25.2856329,51.5264162
Dresden,6.0280000000000005,8.463999999999999,62.21189189189189,51.0493286,13.7381437
Dubai,5.49,9.172,60.26243243243243,25.074282349999997,55.18853865430702
Dublin,4.005000000000001,7.121499999999999,63.60797297297298,53.3493795,-6.2605593
Dusseldorf,5.134,8.166,62.201621621621626,51.2254018,6.7763137
Edinburgh,5.114,8.485,66.24905405405406,55.9533456,-3.1883749
Edmonton,5.522,7.1175000000000015,61.25094594594594,53.5462055,-113.491241
Eindhoven,5.125,9.107,65.95945945945945,51.4392648,5.478633
Eugene,5.021,6.171500000000001,56.758648648648645,44.0505054,-123.0950506
Florence,4.649,7.9725,54.33608108108109,43.7698712,11.2555757
Florianopolis,8.331000000000001,6.525,43.69945945945945,-27.5973002,-48.5496098
Fort Collins,0.0,6.935499999999999,53.06662162162162,40.5508527,-105.0668085
Frankfurt,5.143,6.8375,62.7635135135135,50.1106444,8.6820917
Fukuoka,0.0,9.945,55.89324324324324,33.6251241,130.6180016
Galway,4.9270000000000005,8.89,60.650000000000006,53.2744122,-9.0490601
Gdansk,8.126999999999999,8.0405,55.96864864864867,54.3706858,18.61298210330077
Geneva,1.0,8.427,65.81513513513515,46.2017559,6.1466014
Gibraltar,0.0,9.3375,25.347027027027032,36.1285933,-5.3474761
Glasgow,5.623,7.496,61.34108108108107,55.861155,-4.2501687
Gothenburg,5.046000000000001,7.296,60.449729729729725,57.7072326,11.9670171
Grenoble,4.317,5.8875,53.24459459459461,45.1875602,5.7357819
Guadalajara,9.49,6.472000000000001,50.5891891891892,20.6720375,-103.338396
Guatemala City,8.175,6.139,41.38716216216216,14.6222328,-90.5185188
Halifax,4.9430000000000005,7.188500000000001,60.74202702702704,44.648618,-63.5859487
Hamburg,4.904,6.4590000000000005,62.92743243243242,53.550341,10.000654
Hannover,6.000000000000001,7.352500000000002,60.91554054054053,52.3744779,9.7385532
Havana,7.607999999999999,8.6335,36.73527027027027,23.135305,-82.3589631
Helsinki,4.121,8.674000000000001,65.85716216216217,60.1674881,24.9427473
Ho Chi Minh City,8.844000000000001,6.767500000000001,47.595810810810825,10.7763897,106.7011391
Hong Kong,4.967,9.3505,64.44351351351352,22.2793278,114.1628131
Honolulu,2.867,6.8565000000000005,55.74702702702703,21.304547,-157.855676
Houston,6.162,3.129,57.06554054054055,29.7589382,-95.3676974
Hyderabad,10.0,8.1265,48.69243243243243,17.360589,78.4740613
Indianapolis,5.478,3.968,55.76175675675677,39.7683331,-86.1583502
Innsbruck,4.732,8.273,58.80743243243243,47.2654296,11.3927685
Istanbul,8.787,6.8935,55.19081081081082,41.0091982,28.9662187
Jacksonville,5.359,3.8255,50.80486486486488,30.3321838,-81.655651
Jakarta,8.471,7.0005,48.56202702702704,-6.175247,106.8270488
Johannesburg,7.575000000000001,5.165500000000001,41.291216216216206,-26.205,28.049722
Kansas City,5.844,4.422500000000001,52.51337837837839,39.100105,-94.5781416
Karlsruhe,5.294,6.858,59.9687837837838,49.0068705,8.4034195
Kathmandu,9.445,8.5055,47.20864864864864,27.708317,85.3205817
Kiev,9.817,7.2555,52.16364864864864,50.4500336,30.5241361
Kingston,5.937,5.5275,42.05621621621623,17.9712148,-76.7928128
Knoxville,6.447000000000001,5.1295,48.39648648648649,35.9603948,-83.9210261
Krakow,8.509,8.521500000000001,57.44851351351352,50.0619474,19.9368564
Kuala Lumpur,8.238,5.880999999999999,53.874729729729744,3.1516964,101.6942371
Kyoto,0.0,10.0,56.97,35.021041,135.7556075
Lagos,9.098,5.999499999999999,37.1887837837838,6.4550575,3.3941795
La Paz,0.0,6.750500000000001,33.88797297297296,-16.4955455,-68.1336229
Las Palmas de Gran Canaria,7.717,9.1545,54.33337837837837,28.1288694,-15.4349015
Las Vegas,5.759,2.385,55.9195945945946,36.1672559,-115.148516
Lausanne,1.0,8.032499999999999,65.16905405405407,46.5218269,6.6327025
Leeds,5.363,7.731,60.44499999999999,53.7974185,-1.5437941
Leipzig,5.9110000000000005,7.277000000000001,60.78162162162162,51.3406321,12.3747329
Lille,5.399000000000001,6.942,52.55621621621621,50.6365654,3.0635282
Lima,8.496,5.2905,46.68743243243244,-12.0621065,-77.0365256
Lisbon,7.004000000000001,8.438,63.994054054054025,38.7077507,-9.1365919
Liverpool,6.02,7.7285,64.59554054054053,53.4071991,-2.99168
Ljubljana,6.749000000000001,8.953,60.078648648648645,46.0500268,14.5069289
London,3.94,7.243500000000001,69.50594594594595,51.5073359,-0.12765
Los Angeles,4.556000000000001,5.705,63.42635135135136,34.0536909,-118.242766
Louisville,6.358000000000001,3.6175,48.99202702702704,38.2542376,-85.759407
Luxembourg,3.411,8.627999999999998,60.42635135135136,49.8158683,6.1296751
Lviv,10.0,7.822,50.90554054054054,49.841952,24.0315921
Lyon,4.349,7.134499999999999,60.259324324324325,45.7578137,4.8320114
Madison,6.173,7.362000000000001,60.895,43.074761,-89.3837613
Madrid,6.2490000000000006,7.7925,60.51783783783785,40.4167047,-3.7035825
Malaga,7.375,7.693,60.41837837837837,36.7213028,-4.4216366
Malmo,5.57,6.598000000000001,59.35351351351353,55.6052931,13.0001566
Managua,0.0,7.774500000000001,32.58189189189189,12.1544035,-86.2737642
Manchester,5.049000000000001,6.7725,60.752702702702685,53.4794892,-2.2451148
Manila,8.751999999999999,6.4345,45.87648648648649,14.5813098,120.9761612
Marseille,6.026000000000002,5.252,56.23148648648648,43.2961743,5.3699525
Medellin,9.315,7.477,52.44027027027028,6.2443382,-75.573553
Melbourne,4.798000000000001,7.1325,64.8881081081081,-37.8142454,144.9631732
Memphis,5.829,2.8585000000000003,46.9977027027027,35.1460249,-90.0517638
Mexico City,9.244,5.464000000000001,52.137027027027,19.4326296,-99.1331785
Miami,4.497,4.321,57.09540540540541,25.7741728,-80.19362
Milan,4.801000000000001,7.378000000000001,57.7318918918919,45.4641943,9.1896346
Milwaukee,5.526,4.267,55.33567567567568,43.0349931,-87.922497
Minneapolis-Saint Paul,5.042000000000001,5.085000000000001,61.163648648648646,44.878019050000006,-93.2209280537696
Minsk,9.289,9.038,56.25067567567568,53.9024716,27.5618225
Montevideo,6.197,5.9735000000000005,52.335,-34.9058916,-56.1913095
Montreal,5.948,7.822,68.85486486486488,45.5031824,-73.5698065
Moscow,8.099,7.478,56.82391891891893,55.7504461,37.6174943
Mumbai,9.825,7.618500000000001,49.32351351351352,19.0785451,72.878176
Munich,4.648,9.049,72.19067567567568,48.1371079,11.5753822
Nairobi,8.431999999999999,5.972,40.51445945945945,-1.2832533,36.8172449
Nantes,5.021,7.6355,58.27189189189189,47.2186371,-1.5541362
Naples,5.81,6.389500000000002,49.92905405405406,40.8358846,14.2487679
Nashville,5.742000000000001,5.078,55.83432432432433,36.1622767,-86.7742984
New Orleans,4.991999999999999,2.088,49.22918918918919,29.9759983,-90.0782127
New York,2.342,7.022,67.27513513513514,40.7127281,-74.0060152
Nice,4.475,7.234,59.05918918918921,43.7009358,7.2683912
Nicosia,6.301,8.102500000000001,54.07256756756757,35.1748976,33.3638568
Oklahoma City,6.394,4.6855,55.44851351351353,35.4729886,-97.5170536
Omaha,5.994000000000001,5.5520000000000005,52.9468918918919,41.2587459,-95.9383758
Orlando,5.284,4.134,55.47189189189192,28.5421109,-81.3790304
Osaka,4.819,10.0,64.44554054054053,34.661629000000005,135.49992679245517
Oslo,1.0380000000000005,7.1065000000000005,64.31459459459458,59.9133301,10.7389701
Ottawa,6.027,8.4475,67.06972972972974,45.4208777,-75.6901106
Oulu,0.0,8.458500000000003,58.018918918918914,65.0118734,25.4716809
Oxford,4.941000000000001,8.5685,64.9818918918919,51.7520131,-1.2578499
Palo Alto,0.0,7.637,52.91837837837839,37.4443293,-122.1598465
Panama,0.0,6.976000000000001,41.57094594594595,8.559559,-81.1308434
Paris,3.664,6.2465,64.78743243243241,48.8534951,2.3483915
Perth,4.795,7.1045,60.41878378378376,-31.9558933,115.8605855
Philadelphia,4.422000000000001,3.133,56.2437837837838,39.9527237,-75.1635262
Phnom Penh,8.001000000000001,6.684,40.31662162162162,11.568271,104.9224426
Phoenix,6.208,2.583,56.66256756756756,33.4484367,-112.074141
Phuket,7.602000000000001,5.7285,45.06986486486487,7.9366015,98.3529292
Pittsburgh,4.795,4.791,58.85837837837838,40.4416941,-79.9900861
"Portland, ME",0.0,6.358499999999999,46.60932432432432,43.6592687,-70.2572642
"Portland, OR",4.924,5.1805,60.32581081081081,45.5202471,-122.674194
Porto,7.422000000000001,7.704500000000001,61.32216216216217,41.1494512,-8.6107884
Porto Alegre,8.120000000000001,5.2955,44.05797297297297,-30.0324999,-51.2303767
Prague,7.569,8.6595,64.15054054054055,50.0874654,14.4212535
Providence,0.0,6.846,50.9114864864865,41.8239891,-71.4128343
Quebec,6.037,9.1595,64.68310810810812,52.4760892,-71.8258668
Quito,7.822,6.968999999999999,48.191351351351365,-0.2201641,-78.5123274
Raleigh,5.610000000000001,6.5225,62.51567567567569,35.7803977,-78.6390989
Reykjavik,1.0,8.658,59.11932432432431,64.145981,-21.9422367
Richmond,5.949,3.3765,53.92675675675677,37.5385087,-77.43428
Riga,7.329,7.6255,58.91702702702703,56.9493977,24.1051846
Rio De Janeiro,7.751,5.2955,45.45878378378378,-22.9110137,-43.2093727
Riyadh,7.806000000000001,7.583000000000001,50.88608108108108,24.638916,46.7160104
Rochester,5.488,5.899,52.29013513513514,43.157285,-77.615214
Rome,5.323,6.604500000000001,55.08729729729729,41.8933203,12.4829321
Rotterdam,4.934000000000001,8.268,64.95567567567565,51.9244424,4.47775
Saint Petersburg,8.673,7.793000000000001,55.966756756756766,27.7703796,-82.6695085
Salt Lake City,6.172000000000001,5.657,61.79513513513514,40.7596198,-111.886797
San Antonio,6.683,4.2165,56.70824324324324,29.4246002,-98.4951405
San Diego,5.156000000000001,6.933,64.59310810810813,32.7174202,-117.1627728
San Francisco Bay Area,2.618,5.7155000000000005,65.53635135135136,37.7884969,-122.3558473
San Jose,6.728000000000001,6.7090000000000005,49.683513513513525,37.3361663,-121.890591
San Juan,5.98,5.121000000000001,32.91783783783784,18.465299,-66.116666
San Luis Obispo,0.0,8.058,50.006621621621626,35.3540209,-120.3757163
San Salvador,7.7429999999999986,5.4025,38.64581081081081,13.6989939,-89.1914249
Santiago,7.237,6.9645,59.10459459459461,9.8694792,-83.7980749
Santo Domingo,8.076000000000002,5.779,43.80567567567566,18.4801972,-69.942111
Sao Paulo,7.823000000000001,5.2955,47.71689189189188,-23.5506507,-46.6333824
Sarajevo,8.659,7.132999999999999,48.12418918918919,43.8519774,18.3866868
Saskatoon,5.042000000000001,6.638000000000001,55.4191891891892,52.131802,-106.660767
Seattle,3.79,5.6365,62.74189189189191,47.6038321,-122.330062
Seoul,3.698000000000001,8.305,66.28027027027026,37.5666791,126.9782914
Seville,6.961,8.929499999999999,59.89675675675675,37.3886303,-5.9953403
Shanghai,7.179,7.2085,52.60499999999998,31.2323437,121.4691024
Singapore,3.4890000000000003,9.9715,73.32743243243243,1.357107,103.8194992
Skopje,9.11,7.2795,51.75486486486487,41.9961816,21.4319213
Sofia,8.55,7.550499999999999,55.26216216216216,-15.2538402,48.2562163
St. Louis,5.504,3.880500000000001,58.587162162162166,38.6280278,-90.1910154
Stockholm,4.36,6.8865,64.99675675675675,59.3251172,18.0710935
Stuttgart,5.673000000000002,8.269500000000003,62.84594594594595,48.7784485,9.1800132
Sydney,4.128,7.5710000000000015,64.38000000000001,-33.8698439,151.2082848
Taipei,5.644,9.542,63.08648648648651,25.0375198,121.5636796
Tallinn,6.931000000000001,9.4255,64.5916216216216,59.4372155,24.7453688
Tampa Bay Area,5.253,4.706499999999999,54.96851351351352,27.89799165,-82.51906446720005
Tampere,4.622,8.689000000000002,62.972432432432434,61.4980214,23.7603118
Tartu,7.47,9.3765,61.13337837837838,58.3801207,26.72245
Tashkent,0.0,8.9045,38.21743243243244,41.3123363,69.2787079
Tbilisi,9.765,9.506,57.144459459459455,41.6934591,44.8014495
Tehran,9.544,6.792999999999999,45.51810810810812,35.6892523,51.3896004
Tel Aviv,4.370000000000001,8.0065,59.70608108108109,32.0852997,34.7818064
The Hague,4.653,8.789000000000001,64.6308108108108,52.0799838,4.3113461
Thessaloniki,6.6000000000000005,7.992,54.96418918918919,40.6403167,22.9352716
Tokyo,3.431,10.0,70.50445945945947,35.6840574,139.7744912
Toronto,5.271,7.693500000000001,69.29972972972972,43.6534817,-79.3839347
Toulouse,4.552,6.967,55.86797297297299,43.6044622,1.4442469
Tunis,9.998,8.291500000000001,49.47405405405405,33.8439408,9.400138
Turin,5.612,6.252000000000001,52.118648648648666,45.0677551,7.6824892
Turku,5.07,9.1755,64.57054054054055,60.4517531,22.2670522
Uppsala,5.442,7.850000000000001,59.68621621621624,59.8586126,17.6387436
Utrecht,4.604,8.631,66.26999999999998,52.080985600000005,5.12768396945229
Valencia,6.872,7.786499999999999,61.27256756756756,39.4697065,-0.3763353
Valletta,0.0,8.518,45.63243243243244,35.8989818,14.5136759
Vancouver,5.259,7.5695,67.17567567567568,49.2608724,-123.113952
Victoria,5.703,7.808000000000001,63.09364864864866,-36.5986096,144.6780052
Vienna,5.111,8.5965,68.09459459459461,48.2083537,16.3725042
Vilnius,7.576,8.857,61.60297297297297,54.6870458,25.2829111
Warsaw,8.192,8.6995,59.09945945945946,52.2319581,21.0067249
"Washington, D.C.",3.5949999999999998,2.1915,57.50216216216215,48.125152,-123.4525429
Wellington,5.161,8.223,62.55702702702703,-41.2887953,174.7772114
Winnipeg,5.882,6.0155,57.53810810810812,49.8955367,-97.1384584
Wroclaw,8.434000000000001,8.165500000000002,53.16702702702703,51.1089776,17.0326689
Yerevan,9.431,8.873000000000001,55.57405405405407,40.1777112,44.5126233
Zagreb,7.193999999999999,8.6575,57.2587837837838,45.84264135,15.962231476593626
Zurich,1.0,9.0665,68.80797297297298,47.3744489,8.5410422
